Title,Plot
Ace Ventura: When Nature Calls,"In the Himalayas, after a failed rescue mission results in a raccoon falling to its death (a parody of Cliffhanger), Ace Ventura undergoes an emotional breakdown and joins a Tibetan monastery. Once he has recovered, he is approached by Fulton Greenwall, a British correspondent working for a provincial consulate in the fictional African country of Nibia. Because Ace\'s presence is troublesome to the monastery, the Grand Abbot gives Ace excuses to justify his departure, and sends him off with Greenwall.\r\nThereafter, Greenwall takes Ventura to Africa, and warns him about the hostility of gorillas as it is mating season. Greenwald then asks Ventura to find the Great White bat \'Shikaka\', a sacred animal of the Wachati tribe, which disappeared shortly after being offered as dowry of the Wachati Princess, who is set to wed the Wachootoo Prince to form armistice and peace between the two people. After arriving in Nibia and meeting with consul Vincent Cadby, Ace begins investigating his case, but must overcome his intense fear of bats in order to succeed.\r\nAccompanied by his capuchin monkey, Spike, Ace travels to Africa to search for the missing bat. He eventually befriends the tribe\'s princess, who tries to seduce Ace. However, Ace admits his oath to celibacy, but quietly masturbates in a hut afterwards. Ace then befriends the tribal prince, Ouda, who assists Ace throughout the film. Thereafter much of Ace\'s activity involves eliminating obvious suspects—animal traders, poachers, and a Safari park owner among others—and enduring the growing escalations of threat between the Wachati and the Wachootoo. After being attacked with drugged blow-darts, Ace suspects the medicine-man of the Wachootoo of taking the bat, as he strongly disapproves of the wedding. He travels to the Wachootoo tribal village, with Ouda translating the chief\'s words, rather poorly. The Wachootoo mistake Ace as the ""White Devil"", and have him go through many dangerous and humiliating challenges to gain their trust. He eventually does when his pain makes the chief, entire tribe, and even Ouda laugh for the first time in years. Despite this, if the bat is not returned in time, the Wachootoo will declare war on the Wachati tribe. As a last joke, Ace is shot in the butt by a non-drugged blow-dart by the Chief. As he and Ouda walk back to the village, Ace realizes the dart he was shot with earlier in the film is not the same as the one he was just shot with—meaning the Wachootoo didn\'t take Shikaka.\r\nConfused by the case, Ace consults the Grand Abbot via astral projection. Advised by the Abbot, Ace deduces that Vincent Cadby has taken the bat and hired Ace to divert suspicion from himself, having planned to let the tribes destroy each other so that he can then take possession of the numerous bat caves containing guano to sell as fertilizer worth billions. When Ace confronts Cadby with this knowledge, Ace learns he was hired as Cadby\'s alibi, and he is arrested by tribal security chief, Hitu. Shortly after, Ace calls an elephant to escape, and summons herds of jungle animals to destroy Cadby\'s house. Cadby then tries to shoot Ace, but is defeated by Greenwall who punches him in the face. Cadby escapes with the bat in a car, but Ace follows him in a monster truck. In pursuit, Ace destroys Cadby\'s car, leaving the bat cage lodged in a tree.\r\nAce, despite his chronic fear of bats, bravely yet dramatically returns the bat just as the tribes are about to meet on the battlefield, until they notice the bat and kneel before it. Cadby is watching nearby, but is discovered by Ouda. Ouda then calls him the ""White Devil"" to give Ace more time, and Cadby is pursued by both tribes. After escaping, he encounters a female gorilla that mistakes him for a mate and is subsequently raped. The Princess is married to the Prince, who is revealed to be the man who humilited Ace during one of the Wachootoo tribal challenges earlier. Moments later, it is discovered that the young bride is no longer a virgin, apparently on Ace\'s account. Despite this, peace between the once-separate tribes is achieved, by having everyone joining together and furiously chasing after Ace. Ace runs through the jungle fearfully, concluding the movie."
Dracula: Dead and Loving It,"Solicitor Thomas Renfield travels all the way from London to ""Castle Dracula"" in Transylvania to finalize Count Dracula\'s purchase of Carfax Abbey in England. As the stagecoach driver refuses to take him any further, Renfield continues on foot.\r\nRenfield meets Count Dracula, a charming but rather strange man who is a vampire. He then casts a hypnotic spell on the highly suggestible Renfield, making him his slave. Dracula and Renfield soon embark for England. During the voyage, Dracula dines upon the ship\'s crew. When the ship arrives and Renfield, (by this time raving mad in the style of Dwight Frye), is discovered alone on the ship, he is confined to a lunatic asylum.\r\nMeanwhile, Dracula visits an opera house, where he introduces himself to his new neighbors: Doctor Seward, (the lunatic asylum\'s administrator and head psychiatrist, who is obsessed with prescribing his patients enemas), Mina (Seward\'s nubile daughter), Jonathan Harker (Seward\'s assistant and Mina\'s fiance), and Lucy (Seward\'s equally nubile ward). Dracula flirts with Lucy and, later that night, enters her bedroom and feeds on her blood.\r\nMina discovers Lucy still in bed late in the morning, looking strangely pale. Seward, puzzled by the odd puncture marks on her throat, calls in an expert on obscure diseases, Dr. Abraham Van Helsing. Van Helsing informs the skeptical Dr. Seward that Lucy has been attacked by a vampire. After some hesitation, Seward and Harker allow garlic to be placed in Lucy\'s bedroom to repel the vampire. After a failed attempt by Renfield to remove the garlic, Dracula uses mind-control to make Lucy leave her room, and kills her. Despite Van Helsing\'s warnings, Seward refuses to believe him.\r\nVan Helsing meets Dracula and begins to suspect him of being the local vampire after the two trade words, phrases and insults in Moldavian, each attempting to have the last word in the foreign language \'discussion\'. Lucy, now a vampire herself, rises from her crypt, drains the blood from her guard, and tries to attack and seduce Harker, who had come to watch over her grave to be sure if Van Helsing was indeed right.\r\nDracula\'s next victim is Mina, but he has bigger plans for her; he wants her to be his undead bride throughout eternity. He spirits her away to Carfax Abbey, where they dance, and he sucks her blood. The following morning, she is unusually frisky, and tries to seduce the prudish Jonathan. Dr Seward mistakenly assumes Jonathan to be seducing Mina and orders him to leave. However, Van Helsing becomes suspicious at this strange behavior. Noticing a scarf around Mina\'s neck, he removes it, revealing two puncture marks. Though she lies about how she got them, Van Hesling confirms she has been attacked by a vampire by placing a cross on her hand, which burns a mark into it.\r\nVan Helsing devises a plan to reveal the vampire\'s secret identity. Both Dracula and Renfield are invited to a ball, where Van Helsing has placed a huge mirror, covered with a curtain, on one of the walls. While Dracula and Mina perform an excellent dance routine the curtain over the mirror is dropped, and guests are stunned to see that Dracula has no reflection. Dracula grabs Mina and escapes out of a window.\r\nVan Helsing deduces that Renfield is Dracula\'s slave, and thus might know where he has taken his coffin after a search of Carfax turns up empty. He locks himself in a room to finish making Mina his bride. His pursuers break down the door, and they fight. Van Helsing, noticing sunlight creeping into the room, starts opening the blinds. As his body begins to burn, Dracula then attempts to flee, but is inadvertently killed by Renfield.\r\nWith Dracula dead, Renfield falls into despair with no master to serve and scrapes Dracula\'s ashes into the coffin. Seward tells him ""You are free, now"", and he realizes this to be true with Dracula gone, and seems relieved. But the instant Dr. Seward calls for Renfield to follow him out of the church, he follows with ""Yes, Master"". Van Helsing dusts himself off, opens Dracula\'s coffin and yells something in Moldavian to ensure that he has the final word between himself and the count. However after the end credits roll, Dracula responds in Moldavian despite being dead, giving him the \'true\' final word."
Father of the Bride Part II,"The film begins five years after the events of the first one, with George Banks telling the audience he is ready for the empty nest he'll shortly receive with all of his children grown up. Shortly thereafter, Annie tells the family that she's pregnant, and George begins to mildly panic, insisting he is too young to be a grandfather. He has his assistant make a list of people who are younger than him, dyes his hair brown, and decides he and Nina should sell the home their children have grown up in if one more thing goes wrong with it.\r\nTermites strike the house two weeks later. George puts the house on the market without telling Nina, and sells it to the Habibs. At dinner, after a discussion on whether the baby's last name will be hyphenated or not, George reveals the house has been sold. Nina is livid, as she and George have to be out in 10 days and have no place to go. On moving day George and Annie play a game of basketball one last time (what they always did for father and daughter bonding since Annie was a small child). Having no place to go, the Banks stay at the MacKenzies' (Annie's husband Bryan's parents) mansion. The MacKenzies are on vacation in Hawaii, so the Banks have to deal with their vicious Dobermans, much to George's chagrin (still obviously paranoid from a previous mishap with them).\r\nAfter a late night between George and Nina, she begins experiencing symptoms that bring up the concern of menopause. After visiting the doctor the following day, they are given the opposite news: Nina is pregnant, too. Not long after, they have a chance meeting with Franck, Annie's wedding planner, who is elated at both Banks women expecting. George switches gears; now believing he is too old to be a father again. His feelings come to a head when he and Nina go to Annie and Brian's house to announce their news. Nina brings his insensitivity to light and tells him not to come home.\r\nAs an apology, George reluctantly hires Franck and his assistant Howard to do the baby shower.\r\nAs they are driving home, Nina and George have differing perspectives on the prospect of becoming new parents again. Both express how strange it will be, but begin to welcome the change.\r\nOne day when George is out, he notices that the street to their old house is blocked off and sees a demolition crew with a wrecking ball at the house and learns that Mr. Habib plans to demolish it. An upset George runs in and tries to stop them, as the wrecking ball is about to slam into the house. He pleads with Mr. Habib not to tear down the house since he is going to be a father again, as there is great sentimental value to it. He realizes that if he's going to have another child, he wants to raise him/her in the house his family grew up in. When George offers to buy the house back, Habib agrees on the condition that George pay him $100,000 up front. Although reluctant to pay that money, he gives in when Mr Habib is about to send in the wrecking ball. The Banks then move back into their house, right as Bryan is called away to an emergency meeting in Japan.\r\nMeanwhile, Nina and Annie are moving along in their simultaneous pregnancies and need around the clock care from George. Matty takes over when his father George is away at work. Franck turns simple redecoration of Nina and George's new baby's nursery into a full-scale renovation/addition, which he affectionately calls, 'the baby's suite'. Eventually, all the stress and nights of sleep deprivation around Nina and Annie's constant care, and a few times where Annie thought she was going into labor, wear George out. When 'the baby's suite' is revealed, Franck offers George some sleeping pills from his native country called 'Vatsnik ' after George tells him that he has not been getting enough sleep. George unknowingly takes too high of a dosage and suddenly passes out during dinner. The family becomes worried, which is only increased when Annie finally goes into labor.\r\nFranck takes over the role of driving the family to the hospital with a barely coherent George in tow. After being mistaken for a patient in need of a prostate exam, George finally regains full consciousness and goes to see Nina and Annie when Nina goes into labor. George is initially cynical about Dr. Eisenberg, a young female obstetrician, who fills in because the intended physician had to tend to his child who had fractured her arm during camp in Maine. Despite wanting his grandchild to be delivered by the same doctor who delivered his children, George comes to terms with the arrangement. Bryan soon returns to be with Annie, who gives birth to a baby boy, while Nina gives birth to a baby girl, named George and Megan respectively. George finishes telling the story about Nina and Annie's pregnancy. Bryan and Annie then move to Boston, since Annie took a job there. The film concludes with George standing on the road in front of his house, admiring it with the baby by his side. As he completes the story, he beings walking up the driveway, telling the new baby about all the basketball tricks George will teach her."
Four Rooms,"The film is set on New Year\'s Eve, and starts with Sam (Marc Lawrence), the previous bellhop of the Hotel Mon Signor, briefing his replacement, Ted (Tim Roth), about the job.\r\nThe film\'s animated opening credits are inspired by the cartoons of The Pink Panther Show, and feature the scat song ""Vertigogo"" by Combustible Edsion.\r\nTed assists a number of unusual women with their luggage, which he takes up to the Honeymoon Suite. He learns they are a coven of witches, attempting to create a potion to reverse a spell cast on their goddess, Diana (Amanda De Cadenet) 40 years ago. In order to create it, they each must place an ingredient into a large cauldron in a ritual. However, one (Ione Skye) has still to retrieve her ingredient - semen - which she is told she must retrieve in one hour. She manages to seduce an initially reluctant Ted and has sex with him in the cauldron. After he leaves, they complete the ritual and Diana is seen emerging from the cauldron.\r\nAt the end of the segment, a guest from a hotel room party (Lawrence Bender) calls Ted at the front desk to get some ice. He is unsure about which floor the room is on, but eventually directs Ted to Room 404.\r\nUpon arriving at Room 404, Ted finds himself in the middle of a fantasy hostage situation between a husband and wife. Sigfried (David Proval), the husband, maniacally accuses Ted (whom he calls Theodore) of having slept with his wife, Angela (Jennifer Beals). At gunpoint, Ted is made to participate in the scenario, with uncertainty about what is real and part of the fantasy. At one point, he is stuck in the bathroom window and the party guest from the beginning of the segment appears in the one above, uttering the word ""ice"" and vomiting. Eventually, Ted escapes just as a different party guest (Paul Skemp) appears, looking for Room 404 and is greeted by Sigfried in the same manner as Ted at the beginning of the segment.\r\nIt is not fully clear if these events take place in Room 404 or 409. The party guests\' room is on the above floor, which suggests Sigfried\'s room is indeed Room 404. Adding to this uncertainty, the door reads ""40-"", with a faint outline of what appears to be a missing ""4"" or ""9"". However, Sigfried answers the phone at one point, which is later revealed to be a call connecting to Room 409.\r\nA husband (Antonio Banderas) and wife (Tamlyn Tomita) go out to a New Year\'s Eve party and leave their two children, Sarah and Juancho (Lana McKissack and Danny Verduzco), in the hotel. Ted is paid $500 to keep an eye on them by their stern father, who orders them not to misbehave. As Ted is responsible for the entire hotel he can\'t actually stay in the room with them, but instead instructs them to do so and watch television. After he leaves, they soon begin to squabble and proceed to both explore and vandalize the room, and manage to explode a bottle of champagne in the process. They call Ted for toothbrushes, at which point he arrives and attempts unsuccessfully to put them to bed by putting ointment on their eyelids. After they wash them and summon him back once more, he arrives at a scene of mass chaos: a painting in the room, which they use to play darts with a syringe, has a target scribbled on it with lipstick, Juancho has a cigarette in his mouth, Sarah has a bottle of liquor in her hand, the television is set to an adult channel, and they have found the corpse of a dead prostitute (Patricia Vonne) stuffed in the box spring. While Ted tries to quell the chaos, Sarah stabs him in the leg with the syringe when he repeatedly uses the word ""whore"" and Juancho accidentally sets the room on fire with his cigarette. At this point, their father arrives, carrying his passed-out wife, and, looking around the room, asks Ted, ""Did they misbehave?""\r\nAfter the events of Room 309, an unsettled Ted calls his boss, Betty (Kathy Griffin), to quit. After a prolonged conversation with Margaret (Marisa Tomei), he gets Betty on the phone and quits, but a call from the penthouse comes in. Betty reasons with him and convinces him to tend to their needs, due to the importance of continued Hollywood business to the hotel.\r\nThe penthouse is currently being occupied by the famous director Chester Rush (Tarantino) and a group of his friends, which includes Angela from The Wrong Man. The party requests a block of wood, a doughnut, a ball of twine, three nails, a club sandwich, a bucket of ice, and an extremely sharp hatchet (Rush specifically requests a hatchet ""as sharp as the Devil himself""). After getting acquainted with Chester and his friends, Ted is asked to take part in a challenge: Chester\'s friend, Norman (Paul Calderón), has bet he can light his Zippo cigarette lighter ten times in a row. If he succeeds, Norman will win Chester\'s car, but if he fails, Norman\'s pinky will be cut off. Ted is asked to ""wield the hatchet"" and cut off Norman\'s pinky, should he fail. He initially tries to leave, but Chester persuades him to stay by offering $100 up front and another $1,000 if he performs his assigned role. Norman\'s lighter fails on the first try, and Ted chops off his pinky, sweeps up all the money, and leaves the penthouse with an energetic step. While the credits are rolling, Chester and company are seen frantically getting ready to take a screaming, agonized Norman to the hospital."
Grumpier Old Men,"The feud between Max (Walter Matthau) and John (Jack Lemmon) has cooled and both of them patch things up, and their children, Melanie (Daryl Hannah) and Jacob (Kevin Pollak), have become engaged. Meanwhile, John is enjoying his marriage to new wife Ariel (Ann-Margret).\r\nThe spring and summer fishing season is in full swing with the annual quest to catch ""Catfish Hunter,"" a rather large catfish. However, the local bait shop closed after Chuck, the previous owner died, and Maria Ragetti (Sophia Loren) has purchased the property with the intent of converting it into a fancy Italian restaurant.\r\nIrritated it will no longer be a bait shop, Max and John join forces to sabotage the restaurant. They are successful at first with their practical jokes. However, when Ariel learns what is going on, she tells John to apologize to Maria at once. He eventually does, but falls asleep at the restaurant after drinking grappa. Max and Maria begin dating due to their shared passion in fishing, while her mother Francesca (Ann Morgan Guilbert) dates John\'s father (Burgess Meredith).\r\nTo complicate things further, Jacob and Melanie call off their engagement due to stress from their parents\' involvement. Upon hearing the news, John and Max reignite their feud. Ariel is stressed out because of it and leaves John.\r\nAt the restaurant, Francesca is worried about all the time Maria spends with Max. She reminds her daughter of her five failed marriages and worries that Max will make it six. After being convinced to take a long look at herself, Maria reluctantly stops seeing him.\r\nDistraught over losing Ariel, John heads to the lake for his father\'s advice, but finds him dead. Following the funeral, John and Max call off their feud again and John and Ariel reconcile. After realizing that their own inability to properly plan a wedding is what drove their kids to call it off, they decide to set it right. They help Jacob and Melanie reconcile (the couple later elopes), and manage to catch ""Catfish Hunter"" and release it, then clarify their own drama. Max marries Maria, and on the way to their honeymoon, discover Max\'s one-eyed bulldog, Lucky, in the car with them. Ragetti\'s is reformed so it will also be a bait shop."
Jumanji,"In 1869, near Brantford, New Hampshire, two brothers bury a chest and hope that no one will ever find it.\r\nA century later in 1969, Alan Parrish escapes a gang of bullies led by Billy Jessup and retreats to a shoe factory owned by his father, Sam. He meets Carl Bentley, an employee, who reveals a new shoe prototype he made by himself. Alan misplaces the shoe and damages a machine, but Carl takes responsibility and loses his job. After being attacked by Jessup\'s group, who also steal his bicycle, Alan follows the sound of tribal drumbeats to a construction site. He finds the chest containing a board game called ""Jumanji"" and brings it home.\r\nAt home, after an argument with Sam about attending a boarding school, Alan plans to run away. Sarah Whittle, his friend, arrives to return his bicycle, and Alan shows her Jumanji and invites her to play. With each roll of the dice, the game piece moves by itself and a cryptic message describing the roll\'s outcome appears in the crystal ball at the center of the board. Sarah reads the first message on the board and hears an eerie sound. Alan then unintentionally rolls the dice after being startled by the chiming clock; a message tells him to wait in a jungle until someone rolls a 5 or 8. Alan is sucked into the game, and a colony of bats chases Sarah out of the mansion.\r\nTwenty-six years later in 1995, Judy and Peter Shepherd move into the vacant Parrish mansion with their aunt Nora, after their parents died in an accident on a ski trip in Canada, the winter before. Soon after, Judy and Peter find Jumanji in the attic and begin playing it. Their rolls release a swarm of big mosquitoes and a troop of monkeys. The game rules state that everything will be restored when the game ends, so they continue playing. Peter\'s next roll releases a lion and an adult Alan. As Alan makes his way out, he meets Carl, who is now working as a police officer. Alan, Judy and Peter go to the now closed shoe factory, where a derelict tells Alan that after his disappearance, Sam abandoned the business and searched for Alan, until his death just four years earlier.\r\nRealizing they need Sarah to finish the game, the three locate her, now suffering posttraumatic stress disorder after Alan\'s disappearance, and they persuade her to join them. Sarah\'s roll releases fast-growing carnivorous plants, and Alan\'s next roll releases a big-game hunter, Van Pelt. Judy\'s next roll releases a stampede of various animals, and a pelican steals the game. Peter retrieves it, but Alan is arrested by Carl. Later, Van Pelt catches up to Alan\'s friends and steals the game. Peter, Sarah, and Judy follow Van Pelt to a department store, where they fight him, retrieve the game, and reunite with Alan. When the four return to the mansion, it is now completely overrun by jungle wildlife. They release numerous calamities, until Van Pelt arrives. When Alan drops the dice, he wins the game which causes everything that happened as a result of the game to be reversed.\r\nAlan and Sarah return to 1969 as children, but have full memories of the future events. Alan reconciles with his father and admits that he was responsible for the shoe that damaged the factory\'s machine. Carl is rehired, and Sam tells his son that he does not have to attend boarding school. Alan and Sarah throw Jumanji into a river, and then share a kiss.\r\nTwenty-five years later, Alan and Sarah are married and expecting their first child. Alan runs the factory after his parents retired (but are still alive). He and Sarah reunite with Judy and Peter (who have no memories of the game), and meet their parents Jim and Martha during a Christmas party. The Parrishes offer Jim a job and convinces the Shepherds to cancel their upcoming ski trip, averting their deaths, before they strike up a friendship with them.\r\nOn a beach, two young girls speaking French hear drumbeats while walking, as Jumanji lies partially buried in the sand."
Sudden Death,"Darren McCord (Jean-Claude Van Damme) is a French Canadian-born firefighter with the Pittsburgh Fire Bureau who suffered a personal crisis after he was unable to save a young girl from a house fire. Now removed from active duty, Darren has become demoted to being fire marshal for the Pittsburgh Civic Arena.\r\nWhile attending Game 7 of the Stanley Cup Finals between the Pittsburgh Penguins and the Chicago Blackhawks with his daughter Emily (Whittni Wright) and his son Tyler (Ross Malinger), he discovers a crime operation occurring in the arena. Soon a gang of terrorists led by former US government employee and fired CIA operative Joshua Foss (Powers Boothe) is holding U.S. Vice President Daniel Binder (Raymond J. Barry) and several other VIPs hostage in a luxury suite.\r\nFoss has the arena wired with explosives, and plans to blow it up at the end of the game while having hundreds of millions of dollars wired into several off shore accounts. Darren must not just stop Foss, but somehow send the game into overtime and rescue both his son and daughter simultaneously.\r\nDarren is pulled into the plot when Emily is kidnapped by Carla, the sole female member of the terrorists dressed as the mascot Iceburgh. Carla places Emily in the suite with the other hostages about to be executed. Darren heads up to the executive offices and finds a mobile phone, with which he gets in touch with Secret Service Agent Matthew Hallmark (Dorian Harewood), who advises Darren to stand by while the agents take charge. He angrily refuses, saying that he will handle this himself.\r\nThe Secret Service and the Pittsburgh Police team up to surround the arena and a standoff ensues. Meanwhile, Darren manages to find a few of the bombs and disarm them, whilst Foss goes about killing several hostages after the 2nd period ends. Agent Hallmark finally makes his way inside and meets with Darren, who explains where the rest of the bombs are most likely located. It is then revealed that Hallmark is in league with Foss, and tries to kidnap Tyler, but fails. Hallmark then reveals his true self to Darren, and Darren burns him alive. Darren then uses Hallmark's phone to contact Foss, who taunts him with the news that he is holding his daughter captive.\r\nAs time quickly ticks down, Darren manages to disable more bombs, but is severely slowed by confrontations with Foss's men. At one point, the fire marshal must pretend to be the Pittsburgh goalie to escape the thugs and ends up successfully defending a shot. The third period runs down, and with the Penguins down by one goal, Luc Robitaille scores the equalizer in the last second, bringing the game to sudden death and prolonging the game, but only until the next goal is scored. Darren decides that there's no time left to find the remaining bombs and climbs up to the roof of the Civic Arena. He advances upon the owner's box from above and forces his way in, rescuing Emily and the remaining hostages.\r\nMeanwhile, Foss manages to escape and blend in with the chaos that has ensued by one of Foss's henchmen falling from the roof through the score display and blowing it up. Foss sets off one of the bombs, flooding part of the arena, and recaptures Emily when she recognizes him. They head up towards the top of the arena, where a helicopter is waiting to lift Foss away. Darren intervenes and saves his daughter. Foss flees, and a wounded Darren shoots the pilot through the floor and a screaming Foss is killed as the chopper falls into the arena and explodes on impact with the ice.\r\nDarren is led to a waiting ambulance while and his son and daughter comment to the paramedics about how their father is a hero. A contented Darren is put inside the ambulance as the film ends."
Tom and Huck,"The movie opens with Injun Joe (Eric Schweig) accepting a job position from Doctor Jonas Robinson (William Newman). Tom Sawyer (Jonathan Taylor Thomas) is then seen running away from home. He and his friends ride down the Mississippi River on a raft, but hit a sharp rock, which throws Tom into the water. His friends find him washed up on the shore, and Tom finds it was Huck Finn (Brad Renfro) who carried him to safety. Huck learns of an unusual way to remove warts - by taking a dead cat to the graveyard at night. There they witness Injun Joe and Muff Potter (Mike McShane), the town drunk, digging up the grave of Vic ""One-Eyed"" Murrell for Doctor Robinson. A treasure map is discovered and when Doc tries to betray the two men, Injun Joe murders him with Muff\'s knife.\r\nThe next morning, Muff is charged for the murder. Unfortunately, Tom and Huck had signed an oath saying that if either of them came forward about it, they would drop dead and rot. The boys embark on a search for Injun Joe\'s treasure map, so they can declare Muff innocent and still keep their oath. The only problem is, the map is in Injun Joe\'s pocket. After Injun Joe finds the last treasure, he burns the map, leaving no evidence to claim Muff innocent. Joe then discovers that Tom was a witness to the crime. He finds Tom and threatens he will kill him if he ever tells anyone about the murder. However, at the time, the entire community believed that he was dead, and the friendship between Tom and Huck starts to decline because of the fact that their evidence (the map) to prove Muff innocent, while preserving their oath, is destroyed.\r\nAt Muff Potter\'s trial, Tom decides that his friendship with Muff is more important than his oath with Huck and tells the truth. The court finds Muff innocent of all charges and goes after Injun Joe. As a result, Injun Joe decides to hold up his end of the bargain by killing Tom. When Injun Joe returns to the tavern, he kills his accomplice Emmett (Lanny Flaherty) for cheating him. Huck becomes angry with Tom for breaking their oath and leaves town. During a festival the next day, a group of children, including Tom and his love interest Becky Thatcher (Rachael Leigh Cook), enter the caves where Tom and Becky become lost. They stumble upon Injun Joe (who was looking for Tom) in McDougal\'s Cave. He traps them, but Tom and Becky manage to escape. Then they find the treasure and Tom tells Becky to go get her father and bring him back.\r\nJust then, Injun Joe finds Tom, and again tries to kill him. But Huck returns to help save Tom, and battles Injun Joe. But Injun Joe easily overpowers Huck; just as he is about to kill him, Tom holds the treasure chest over a chasm. Injun Joe then tries to get the chest from Tom, only to fall into the chasm to his death (with the chest which was empty). The boys reconcile, and are declared heroes by the people. Tom is praised on the front page of the newspaper, and Widow Douglas (Marian Seldes) decides to adopt Huck Finn."
Toy Story,"In a world where toys are living things who pretend to be lifeless when humans are present, a group of toys, owned by six-year-old Andy Davis, are caught off-guard when Andy's birthday party is moved up a week, as Andy, his mother, and infant sister Molly, are preparing to move the following week. The toys' leader and Andy's favorite toy, a pull-string cowboy doll named Sheriff Woody, organizes the other toys, including Bo Peep the shepherdess, Mr. Potato Head, Rex the Dinosaur, Hamm the Piggy Bank, and Slinky Dog, into a scouting mission. Green army men, led by Sarge, spy on the party, and report the results to the others via baby monitors. The toys are relieved when the party appears to end with none of them having been replaced, but then Andy receives a surprise gift – an electronic toy space ranger action figure named Buzz Lightyear, who thinks he is an actual space ranger.\r\nBuzz impresses the other toys with his various features, and Andy begins to favor him, making Woody feel left out. As Andy prepares for a family outing at Pizza Planet, his mother allows him to bring one toy. Fearing Andy will choose Buzz, Woody attempts to trap Buzz behind a desk, but ends up accidentally knocking him out a window, and the other toys rebel against Woody by accusing him of knocking Buzz out of jealousy. Before they can exact revenge, Andy takes Woody instead and leaves for Pizza Planet. When the family stops for gas, Woody finds that Buzz has hitched a ride on the car as well, and fight, only to find the family has left without them. They manage to make their way to the restaurant by stowing away on a pizza delivery truck, where Buzz, still thinking he is a real space ranger, despite Woody's attempts to convince him otherwise, gets them stuck in a crane game, where they are salvaged by Andy's mischievous neighbor, Sid Phillips.\r\nWoody attempts to escape from Sid's house, but Buzz, finally realizing he is a toy after watching a Buzz Lightyear TV ad, sinks into despondency. Sid plans to launch Buzz on a firework rocket, but his plans are delayed by a thunderstorm. Woody tells Buzz about the joy he can bring to Andy as a toy, restoring his confidence. The next day, Woody and Sid's mutant toy creations rescue Buzz just as Sid is about to launch the rocket and scare Sid into no longer abusing toys by coming to life in front of him, and he runs into his house screaming in horror. Woody and Buzz then leave Sid's house just as Andy and his family drive away toward their new home.\r\nThe duo tries to make it to the moving truck, but Sid's dog, Scud, sees them, and gives chase. Buzz gets left behind while saving Woody from Scud, and Woody tries rescuing him with Andy's RC car, but the other toys, thinking Woody eliminated RC as well, attack and toss him off the truck. Having evaded Scud, Buzz and RC retrieve Woody, and continue after the truck. Upon seeing Woody and Buzz together on RC, the other toys realize their mistake, and try to help them get back aboard, but RC's batteries become depleted, stranding them. Woody ignites the rocket on Buzz's back and manages to throw RC into the truck before they soar into the air. Buzz opens his wings to free himself from the rocket before it explodes, gliding with Woody to land safely into a box in the car, right next to Andy.\r\nOn Christmas Day, at their new house, Woody and Buzz stage another reconnaissance mission to prepare for the new toy arrivals. As Woody jokingly asks what might be worse than Buzz, they discover Andy's new gift is a puppy, and the two share a worried smile."
Waiting to Exhale,"Friends are the People who let you be yourself—and Never let you forget it""\r\nWaiting to Exhale is a story about four African-American women—Savannah, Robin, Bernadine, and Gloria—who go through different stages of love and life.\r\nSavannah ""’Vannah"" Jackson is a successful television producer who holds on to the belief that one day her married lover will leave his wife for her. She later comes to find that he will never leave his wife and she must find her own man who will love her for her and for who she is.\r\nBernadine ""Bernie"" Harris abandons her own career dreams and desire of having a catering business to raise a family and support her husband, who leaves her for a white woman.\r\nRobin Stokes is a high-powered executive and the long-time mistress of married Russell. She has problems finding a decent man of her own after dumping him.\r\nGloria ""Glo"" Matthews is a beauty salon owner and single mother. After years alone, and finding out that her ex-husband, who is also the father of her son, has come out of the closet as gay, she falls in love with a new neighbor, Marvin King.\r\nThe four friends get together to provide support, listen to each other vent about life and love, and have fun, as they go through life\'s trials and tribulations.\r\nSavannah ends up dumping her married lover for good. Bernadine gets a large divorce settlement from her ex-husband and finds love with a widowed father who is a civil rights attorney. He encourages Bernie to pursue her catering dreams.\r\nRobin ends up pregnant by her married lover, but dumps him and decides to raise the baby on her own.\r\nGloria learns to not be so overprotective of her son, and lets him go on an ""Up With People"" trip to Spain. She apologizes to her neighbor for snapping at him when he suggested that she should let her son grow up and experience the world, and she finds love while learning to take care of herself rather than being overly self-sacrificing in her devotion to her son and her business."
